name	category	composition	price	img
Пепперони	pizza	Пикантная пепперони, увеличенная порция моцареллы, томатный соус	399	https://dodopizza-a.akamaihd.net/static/Img/Products/80af1cf2138447b4a9afc30df6af712c_584x584.jpeg
Мясная	pizza	Цыпленок, ветчина, пикантная пепперони, острая чоризо, моцарелла, томатный соус	449	https://dodopizza-a.akamaihd.net/static/Img/Products/b10dd95184eb49d39a739d75b8cbfeaf_584x584.jpeg
Маргарита	pizza	Увеличенная порция моцареллы, томаты, итальянские травы, томатный соус	349	https://dodopizza-a.akamaihd.net/static/Img/Products/6b61691078454b3793cdbfbbaa15cf58_584x584.jpeg
Гавайская	pizza	Ветчина, ананасы, моцарелла, томатный соус	399	https://dodopizza-a.akamaihd.net/static/Img/Products/4749ca7de7e247daa69a685714f06aa3_584x584.jpeg
Вишневый пирог	desserts	Творожно-песочное тесто с ягодами, заварным кремом и лепестками миндаля.	129	https://dodopizza-a.akamaihd.net/static/Img/Products/4c4be1059e5c4643887258b0ff49a557_584x584.jpeg
Чизкейк Нью-Йорк	desserts	Нежнейший творожный чизкейк.	129	https://dodopizza-a.akamaihd.net/static/Img/Products/Desserts/ru-RU/d3784f23-cc6b-4678-91d8-2a0cf5b8b1dd.jpg
Пончики Тройной шоколад и Клубничный	desserts	Такие разные, но вместе.	199	https://dodopizza-a.akamaihd.net/static/Img/Products/e168f60e82014ac8947d7b8bf8a53eaf_584x584.jpeg
2 Кукиса Три шоколада	desserts	С одной стороны, кукис — это хорошо, а с другой — два еще лучше.	199	https://dodopizza-a.akamaihd.net/static/Img/Products/884ba2a04ee241f597d5cce725f632f9_584x584.jpeg
Coca-Cola	drinks	0.5 л	99	https://dodopizza-a.akamaihd.net/static/Img/Products/c99ec0985f37456a8084928dfe8ed379_584x584.jpeg
Sprite	drinks	0.5 л	99	https://dodopizza-a.akamaihd.net/static/Img/Products/cbf4fc24b6784abe9b061f44411bebed_584x584.jpeg
Fanta	drinks	0.5 л	99	https://dodopizza-a.akamaihd.net/static/Img/Products/39ec292094ab4fa2b241acc85d1680c0_584x584.jpeg
BonAqua, негазированная	drinks	0.5 л	69	https://dodopizza-a.akamaihd.net/static/Img/Products/cf50b7be24e34a5880d5c35f8dd7ef4f_584x584.jpeg
Комбо за 599 рублей	combo	Наш хит «Аррива!» или другая пицца 25 см, Додстер, напиток и соус. Выбор пицц ограничен.	599	https://dodopizza-a.akamaihd.net/static/Img/ComboTemplates/fbf325ba27c24254b3461960263163c9_584x584.webp
2 пиццы	combo	Самое популярное комбо из 2 пицц 30 см. Выбор пицц ограничен.	989	https://dodopizza-a.akamaihd.net/static/Img/ComboTemplates/d862fb75213047fbb8bb8819f42202e8_584x584.webp
4 Додстера	combo	4 любых Додстера на выбор: Острый или Классический	539	https://dodopizza-a.akamaihd.net/static/Img/ComboTemplates/1cc271cd4c4749cda25ac52dc8b3fb6a_584x584.webp
10 пицц	combo	10 пицц 30 см на любой вкус. Для компании из 20–30 человек. Выбор пицц ограничен.	4299	https://dodopizza-a.akamaihd.net/static/Img/ComboTemplates/e476da580f9b4e32bcefd2c97c836e7a_584x584.webp
